id,cust_id_occurrence_count,canceled_line_flag,cust_cancellation_count,line_subscription_duration_days,line_one_time_purchase_flag,first_cust_sale_date,last_cust_sale_date,repeat_cust_flag,count_of_unique_lifetime_products,first_subscription_flag,subscription_occurrence_count,total_cust_lifetime_length_days,customer_subscription_change_flag,product_id,user_id,plan_start_type,plan_end_type,plan_start_date,plan_end_date,product_name,product_type,quantity,price,starter_set_count,other_set_count,blade_count,handle_count,shave_gel_count,shave_cream_count,face_wash_count,aftershave_count,lip_balm_count,razor_stand_count,face_lotion_count,travel_kit_count
1503889,3,True,2,3.96,False,2016-07-22 19:52:56.244,2016-07-31 19:15:42.253,True,1,False,3,193.8,False,511,140852,web,admin,2016-07-31 19:09:17.356,2016-08-04 18:04:51.037,BladesPlan,Blades,2,15,0,0,8,0,0,0,0,0,0,0,0,0
1503916,3,False,2,184.8,False,2016-07-22 19:52:56.244,2016-07-31 19:15:42.253,True,1,False,3,193.8,False,511,140852,web,on_going,2016-07-31 19:15:42.253,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1477851,1,True,1,24.72,False,2016-07-23 22:12:30.779,2016-07-23 22:12:30.779,False,1,True,1,24.7,False,511,142906,web,web,2016-07-23 22:12:30.779,2016-08-17 15:23:48.728,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1551117,1,False,0,171.0,False,2016-08-14 14:01:39.871,2016-08-14 14:01:39.871,False,1,True,1,171.0,False,511,143672,web,on_going,2016-08-14 14:01:39.871,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1512309,1,False,0,182.4,False,2016-08-03 05:44:20.622,2016-08-03 05:44:20.622,False,1,True,1,182.4,False,511,143723,web,on_going,2016-08-03 05:44:20.622,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1535405,4,True,4,14.88,False,2016-08-09 19:12:35.957,2016-10-23 19:53:47.527,True,2,True,4,154.1,True,511,144299,web,web,2016-08-09 19:12:35.957,2016-08-24 16:18:35.415,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1586037,4,True,4,60.15,False,2016-08-09 19:12:35.957,2016-10-23 19:53:47.527,True,2,False,4,154.1,True,511,144299,web,web,2016-08-24 16:18:35.391,2016-10-23 19:53:47.544,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1586038,4,True,4,60.15,False,2016-08-09 19:12:35.957,2016-10-23 19:53:47.527,True,2,False,4,154.1,True,506,144299,web,web,2016-08-24 16:18:35.401,2016-10-23 19:53:47.563,FoamingShaveGel,Pre/Post Shave,1,6,0,0,0,0,1,0,0,0,0,0,0,0
1777448,4,True,4,79.04,False,2016-08-09 19:12:35.957,2016-10-23 19:53:47.527,True,2,False,4,154.1,True,511,144299,web,web,2016-10-23 19:53:47.527,2017-01-10 20:47:15.933,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1422512,1,True,1,56.64,False,2016-07-22 00:29:02.493,2016-07-22 00:29:02.493,False,1,True,1,56.6,False,511,144982,web,admin,2016-07-22 00:29:02.493,2016-09-16 15:45:27.399,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1507712,3,True,1,38.96,False,2016-08-01 20:54:45.517,2016-09-09 19:50:32.921,True,3,False,3,183.7,True,504,145058,web,web,2016-08-01 20:54:45.517,2016-09-09 19:50:32.940,Blades2GelsPlan,Bundle,1,27,0,0,8,0,2,0,0,0,0,0,0,0
1644350,3,False,1,144.8,False,2016-08-01 20:54:45.517,2016-09-09 19:50:32.921,True,3,False,3,183.7,True,110,145058,web,on_going,2016-09-09 19:50:32.908,2017-02-01 14:24:00.000,ShaveCream,Pre/Post Shave,2,8,0,0,0,0,0,1,0,0,0,0,0,0
1644351,3,False,1,144.8,False,2016-08-01 20:54:45.517,2016-09-09 19:50:32.921,True,3,True,3,183.7,True,511,145058,web,on_going,2016-09-09 19:50:32.921,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1501113,1,True,1,177.3,False,2016-07-30 20:26:30.668,2016-07-30 20:26:30.668,False,1,True,1,177.3,False,511,145445,web,web,2016-07-30 20:26:30.668,2017-01-24 03:33:40.832,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1486541,1,False,0,190.6,False,2016-07-26 01:10:47.191,2016-07-26 01:10:47.191,False,1,True,1,190.6,False,511,149402,web,on_going,2016-07-26 01:10:47.191,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1517976,4,one_time_purchase,2,0.0,True,2016-08-04 21:37:07.041,2016-08-04 21:37:28.882,False,3,False,4,59.7,False,506,159237,web,web,2016-08-04 21:37:07.041,2016-08-04 21:37:28.897,FoamingShaveGel,Pre/Post Shave,1,6,0,0,0,0,1,0,0,0,0,0,0,0
1517977,4,one_time_purchase,2,0.0,True,2016-08-04 21:37:07.041,2016-08-04 21:37:28.882,False,3,False,4,59.7,False,508,159237,web,web,2016-08-04 21:37:07.048,2016-08-04 21:37:28.913,PostShaveBalm,Pre/Post Shave,1,5,0,0,0,0,0,0,0,1,0,0,0,0
1517979,4,True,2,59.69,False,2016-08-04 21:37:07.041,2016-08-04 21:37:28.882,False,3,False,4,59.7,False,508,159237,web,web,2016-08-04 21:37:28.872,2016-10-03 14:05:40.765,PostShaveBalm,Pre/Post Shave,1,5,0,0,0,0,0,0,0,1,0,0,0,0
1517980,4,True,2,59.69,False,2016-08-04 21:37:07.041,2016-08-04 21:37:28.882,False,3,True,4,59.7,False,504,159237,web,web,2016-08-04 21:37:28.882,2016-10-03 14:05:40.782,Blades2GelsPlan,Bundle,1,27,0,0,8,0,2,0,0,0,0,0,0,0
1547553,8,True,5,164.53,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,110,163486,web,web,2016-08-13 11:38:21.706,2017-01-25 00:27:00.220,ShaveCream,Pre/Post Shave,1,8,0,0,0,0,0,1,0,0,0,0,0,0
1547554,8,True,5,164.53,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,507,163486,web,web,2016-08-13 11:38:21.712,2017-01-25 00:27:00.231,FoamingShaveGel,Pre/Post Shave,1,4,0,0,0,0,1,0,0,0,0,0,0,0
1547555,8,True,5,164.53,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,True,8,172.1,True,511,163486,web,web,2016-08-13 11:38:21.719,2017-01-25 00:27:00.240,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1575601,8,True,5,156.37,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,488,163486,web,web,2016-08-21 15:29:02.863,2017-01-25 00:26:24.108,HarrysBlades,Blades,1,8,0,0,4,0,0,0,0,0,0,0,0,0
1575602,8,True,5,156.37,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,506,163486,web,web,2016-08-21 15:29:02.877,2017-01-25 00:26:24.123,FoamingShaveGel,Pre/Post Shave,1,6,0,0,0,0,1,0,0,0,0,0,0,0
2067812,8,False,5,7.6,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,488,163486,web,on_going,2017-01-25 00:26:24.096,2017-02-01 14:24:00.000,HarrysBlades,Blades,1,8,0,0,4,0,0,0,0,0,0,0,0,0
2067814,8,False,5,7.6,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,110,163486,web,on_going,2017-01-25 00:27:00.205,2017-02-01 14:24:00.000,ShaveCream,Pre/Post Shave,1,8,0,0,0,0,0,1,0,0,0,0,0,0
2067815,8,False,5,7.6,False,2016-08-13 11:38:21.706,2017-01-25 00:27:00.212,True,4,False,8,172.1,True,511,163486,web,on_going,2017-01-25 00:27:00.212,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1493061,1,True,1,74.53,False,2016-07-28 02:24:58.967,2016-07-28 02:24:58.967,False,1,True,1,74.5,False,511,169132,web,web,2016-07-28 02:24:58.967,2016-10-10 15:05:26.855,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1532372,1,False,0,176.7,False,2016-08-08 22:35:11.820,2016-08-08 22:35:11.820,False,1,True,1,176.7,False,511,176472,web,on_going,2016-08-08 22:35:11.820,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1520596,1,False,0,179.9,False,2016-08-05 17:45:16.107,2016-08-05 17:45:16.107,False,1,True,1,179.9,False,511,176866,web,on_going,2016-08-05 17:45:16.107,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1559614,3,False,0,168.9,False,2016-08-16 17:25:53.913,2016-08-16 17:25:53.924,False,3,True,3,168.9,False,511,178200,admin,on_going,2016-08-16 17:25:53.913,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
